tag,seed,noise_type,eta,policy,budget,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,loss_warmup_epochs,num_corrupted,num_audited,num_corrected,hit_rate,correction_rate,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,auc_test,wall_time_sec,stopped_early,status
audit_input_dep_eta0.04_random_audit_B200_seed1,1,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,7,0.035,0.035,,,,0.4381974705069614,0.9834,57.12986447018812,41.22733552981188,27166.4718978405,False,completed
audit_input_dep_eta0.04_random_audit_B400_seed1,1,input_dep,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,16,0.04,0.08,,,,0.44308640663194815,0.9844,56.919854713572114,41.53714528642789,5068.439903974533,False,completed
audit_input_dep_eta0.04_random_audit_B800_seed1,1,input_dep,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,30,0.0375,0.15,,,,0.4606228079498353,0.9856,56.15875827399298,42.41864172600701,4798.149051189423,False,completed
audit_input_dep_eta0.04_region_audit_B200_seed1,1,input_dep,0.04,region_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,33,0.165,0.165,,,,0.46051652672972687,0.9848,56.21446682963121,42.2831331703688,4463.6792187690735,False,completed
audit_input_dep_eta0.04_region_audit_B400_seed1,1,input_dep,0.04,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,58,0.145,0.29,,,,0.5080242321181847,0.9882,54.34488026357743,44.49271973642257,5372.633687019348,False,completed
audit_input_dep_eta0.04_region_audit_B800_seed1,1,input_dep,0.04,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,130,0.1625,0.65,,,,0.6101604846423637,0.9932,45.087995663726225,54.24880433627378,35406.11606669426,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed1,1,input_dep,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,96,0.48,0.48,,32000,70000,0.9042406206823255,1.0,14.509575767881817,85.50802423211819,16118.81025505066,False,completed
audit_input_dep_eta0.04_loss_audit_B400_seed1,1,input_dep,0.04,loss_audit,400,97,5000,256,512,102000,200000,2000,0.001,0.02,0.95,5,2000,200,400,120,0.3,0.6,94000,28000,44000,0.9529174194919757,1.0,8.903466532043787,42.11393346795621,6812.946752071381,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed1,1,input_dep,0.04,loss_audit,800,97,5000,256,512,62000,200000,2000,0.001,0.02,0.95,5,2000,200,800,138,0.1725,0.69,54000,26000,38000,0.9622701668615156,1.0,7.248536528855351,23.769263471144647,1413.0156769752502,True,completed
audit_uniform_eta0.04_none_seed1,1,uniform,0.04,none,0,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,0,0,0.0,0.0,,,,0.42310553725156763,0.9824,57.211461388032745,41.04633861196725,4310.457261800766,False,completed
audit_uniform_eta0.04_random_audit_B200_seed1,1,uniform,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,8,0.04,0.04,,,,0.43692209586566055,0.9838,56.99084920820491,41.4069507917951,4052.9696927070618,False,completed
audit_uniform_eta0.04_random_audit_B400_seed1,1,uniform,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,12,0.03,0.06,,,,0.4304389414390477,0.9836,56.85076399192263,41.526836008077375,3843.3012998104095,False,completed
audit_uniform_eta0.04_random_audit_B800_seed1,1,uniform,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,36,0.045,0.18,,,,0.44478690615368266,0.9862,56.46079151875863,42.177808481241364,4498.133017063141,False,completed
audit_uniform_eta0.04_region_audit_B200_seed1,1,uniform,0.04,region_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,3,0.015,0.015,,,,0.42788819215644597,0.9824,57.21846338611968,41.03953661388032,47894.537492990494,False,completed
audit_uniform_eta0.04_region_audit_B400_seed1,1,uniform,0.04,region_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,17,0.0425,0.085,,,,0.4321394409607822,0.9844,56.92831952386014,41.52928047613987,3993.577857017517,False,completed
audit_uniform_eta0.04_region_audit_B800_seed1,1,uniform,0.04,region_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,30,0.0375,0.15,,,,0.4485067488574769,0.9856,56.51798201721757,42.061217982782445,5047.389620065689,False,completed
audit_uniform_eta0.04_loss_audit_B200_seed1,1,uniform,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,90,0.45,0.45,,38000,68000,0.9436709533425444,1.0,14.366164714634923,85.65203528536507,4975.991229057312,False,completed
audit_uniform_eta0.04_loss_audit_B400_seed1,1,uniform,0.04,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,99,0.2475,0.495,,34000,68000,0.934424487193113,1.0,14.28756686151557,85.72983313848442,4813.975553035736,False,completed
